,latitude,longitude,market_cen,OBJECTID,geometry
28,6.75,-10.11,Salala,31,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.10832999963,6.7458300002543],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
29,7.36,-8.71,Sanniquellie,32,"""{\""type\"":\""Point\"",\""coordinates\"":[-8.7061000003147,7.3622000003298],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
30,6.58,-10.89,Sass Town,33,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.891669999571,6.5811099998267],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
31,6.99,-9.58,Suakoko,34,"""{\""type\"":\""Point\"",\""coordinates\"":[-9.5813900002483,6.9888899998737],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
32,6.49,-8.86,Tapeta,35,"""{\""type\"":\""Point\"",\""coordinates\"":[-8.8602800003217,6.4922199997532],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
33,6.41,-8.56,Toe Town,36,"""{\""type\"":\""Point\"",\""coordinates\"":[-8.5558299998546,6.407220000103],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
34,6.81,-9.94,Totota,37,"""{\""type\"":\""Point\"",\""coordinates\"":[-9.9380599995693,6.812499999975],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
35,6.87,-10.82,Tubmanburg,38,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.817219999903,6.8708300000046],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
36,8.42,-9.75,Voinjama,39,"""{\""type\"":\""Point\"",\""coordinates\"":[-9.7477800003467,8.4219400004307],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
37,6.75,-11.15,Vonzua,40,"""{\""type\"":\""Point\"",\""coordinates\"":[-11.1500000001,6.7500000001],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
38,5.27,-8.11,Worekehn,41,"""{\""type\"":\""Point\"",\""coordinates\"":[-8.1127800001968,5.2727799995973],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
39,6.23,-8.43,Zleh Town,42,"""{\""type\"":\""Point\"",\""coordinates\"":[-8.4333300002792,6.2266699999206],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
40,6.82,-9.18,Zowienta,44,"""{\""type\"":\""Point\"",\""coordinates\"":[-9.1825000000749,6.8155599998941],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
41,6.07,-8.13,Zwedru,45,"""{\""type\"":\""Point\"",\""coordinates\"":[-8.1280599997691,6.0666700004202],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
42,0.0,0.0, ,46,"""{\""type\"":\""Point\"",\""coordinates\"":[-11.364269824218,7.4525586051291],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
43,0.0,0.0, ,47,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.996227832031,7.370849595982],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
44,0.0,0.0, ,48,"""{\""type\"":\""Point\"",\""coordinates\"":[-11.364269824218,7.566925578589],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
45,0.0,0.0, ,51,"""{\""type\"":\""Point\"",\""coordinates\"":[-10.158061981428,6.5317127984507],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""
