,ADM0_NAME,ADM1_NAME,ADM2_NAME,CITY,COMMENTS,CONF_IMAGE,GLOBALID,IMGNAME,ISO3,NAME,SOURCE,SOURCE2,SOURCE2_DT,SOURCE_DT,SPA_ACC,TYPE,OBJECTID,country_code,sdr_id,sdr_name,sdr_level
39,Liberia,Montserrado,Greater Monrovia,Caldwell,999999,Assessed,8b408c23-24de-4847-aa34-426c90db5e44,41.jpeg,LBR,AG Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,41,LR,5580,Greater Monrovia,ADM2
40,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,a38e0311-cf86-48db-98f6-e92a898bb435,42.jpeg,LBR,Better Living Seventh Day Adventist Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,42,LR,5580,Greater Monrovia,ADM2
41,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,9be4af8b-3fb9-47cf-a257-a56af9b575a5,43.jpeg,LBR,Ame Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,43,LR,5580,Greater Monrovia,ADM2
42,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,c67a8614-8718-4b74-a238-9b9fc254b0b9,44.jpeg,LBR,Assembly of God Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,44,LR,5580,Greater Monrovia,ADM2
43,Liberia,Montserrado,Greater Monrovia,Monrovia,Headquarters,Assessed,1ec22abe-dcc7-4c80-b8b0-019c71bc3b31,45.jpeg,LBR,United Liberia Inland Church Headquarters,Google,DigitalGlobe,September 2014,September 2014,1,Church,45,LR,5580,Greater Monrovia,ADM2
44,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,14f8ad22-83da-4c77-8926-70c94b51177e,46.jpeg,LBR,Mount Nimbo Baptist Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,46,LR,5580,Greater Monrovia,ADM2
45,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,b9feedd1-2ac8-4b49-8c6f-877011ed61d8,47.jpeg,LBR,Harvest Baptist Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,47,LR,5580,Greater Monrovia,ADM2
46,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,c0f9c591-b96b-4eff-85a7-43ef5338d678,48.jpeg,LBR,Beawo Baptist Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,48,LR,5580,Greater Monrovia,ADM2
47,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,b67c5117-26c9-4832-b640-dc7b3a583c4b,49.jpeg,LBR,Lakpazee Community Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,49,LR,5580,Greater Monrovia,ADM2
48,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,2b4c7532-af95-4df6-988b-c8887ba58a46,50.jpeg,LBR,Believer Christian Fellowship Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,50,LR,5580,Greater Monrovia,ADM2
